eclipse_type,date_range_label,source_url,rows_extracted,output_file,pulled_at_utc,status
solar,1901_2000,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,228,solar_1901_2000.csv,2026-08-18T08:53:59.549046+00:00,ok
solar,2001_2100,https://eclipse.gsfc.nasa.gov/SEcat5/SE2001-2100.html,224,solar_2001_2100.csv,2026-08-18T08:54:02.207032+00:00,ok
